

Run Date,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
 10/22/2024," YOU BOUGHT NEXSTAR MEDIA GROUP INC COMMON STOCK (NXST) (Cash)", NXST," NEXSTAR MEDIA GROUP INC COMMON STOCK",Cash,0.133,171.34,,,,-22.79,Processing,10/23/2024
 10/22/2024," YOU BOUGHT PROLOGIS INC. COM (PLD) (Cash)", PLD," PROLOGIS INC. COM",Cash,0.244,118.76,,,,-28.98,Processing,10/23/2024
 10/22/2024," YOU BOUGHT ISHARES TR JP MOR EM MK ETF (EMB) (Cash)", EMB," ISHARES TR JP MOR EM MK ETF",Cash,0.548,91.22,,,,-49.99,Processing,10/23/2024
 10/22/2024," YOU SOLD SERVICE CORPORATION INTERNATIONAL CO... (SCI) (Cash)", SCI," SERVICE CORPORATION INTERNATIONAL COM U",Cash,-0.333,75.54,,,,25.15,Processing,10/23/2024
 10/22/2024," YOU SOLD J P MORGAN EXCHANGE TRADED FD INTL B... (JPIB) (Cash)", JPIB," J P MORGAN EXCHANGE TRADED FD INTL BD O",Cash,-0.6,47.92,,,,28.75,Processing,10/23/2024
 10/22/2024," YOU SOLD J P MORGAN EXCHANGE TRADED FD INTL B... (JPIB) (Cash)", JPIB," J P MORGAN EXCHANGE TRADED FD INTL BD O",Cash,-1,47.96,,,,47.96,Processing,10/23/2024
 10/22/2024," YOU BOUGHT ISHARES TR JP MOR EM MK ETF (EMB) (Cash)", EMB," ISHARES TR JP MOR EM MK ETF",Cash,0.915,91.16,,,,-83.41,Processing,10/23/2024
 10/22/2024," YOU SOLD SPDR BLOOMBERG SHORT TERM HIGH YIELD... (SJNK) (Cash)", SJNK," SPDR BLOOMBERG SHORT TERM HIGH YIELD BO",Cash,-0.275,25.47,,,,7,Processing,10/23/2024
 10/22/2024," YOU SOLD SPDR BLOOMBERG SHORT TERM HIGH YIELD... (SJNK) (Cash)", SJNK," SPDR BLOOMBERG SHORT TERM HIGH YIELD BO",Cash,-3,25.47,,,,76.41,Processing,10/23/2024
 10/22/2024," YOU BOUGHT ISHARES TR JP MOR EM MK ETF (EMB) (Cash)", EMB," ISHARES TR JP MOR EM MK ETF",Cash,0.315,91.19,,,,-28.72,Processing,10/23/2024
 10/22/2024," YOU BOUGHT VANECK ETF TR FALLEN ANGEL HIGH YLD ... (ANGL) (Cash)", ANGL," VANECK ETF TR FALLEN ANGEL HIGH YLD BD ",Cash,0.723,29.02,,,,-20.98,Processing,10/23/2024
 10/22/2024," YOU SOLD BERKSHIRE HATHAWAY INC COM USD0.0033... (BRKB) (Cash)", BRKB," BERKSHIRE HATHAWAY INC COM USD0.0033 CL",Cash,-0.108,460.3,,,,49.71,Processing,10/23/2024
 10/21/2024," YOU SOLD WD 40 CO COM (WDFC) (Cash)", WDFC," WD 40 CO COM",Cash,-0.199,256.47,,,,51.04,0.00,10/22/2024
 10/21/2024," YOU SOLD VANGUARD SCOTTSDALE FDS VANGUARD SHO... (VCSH) (Cash)", VCSH," VANGUARD SCOTTSDALE FDS VANGUARD SHORT-",Cash,-0.713,78.64,,,,56.07,-51.04,10/22/2024
