

Run Date,Action,Symbol,Description,Type,Exchange Quantity,Exchange Currency,Quantity,Currency,Price,Exchange Rate,Commission,Fees,Accrued Interest,Amount,Cash Balance,Settlement Date
12/24/2024,"DEBIT CARD PURCHASE MCDONALD'S F18095 MANASSAS VA1222242442733PMLYPTQ (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-47.01,5413.42,
12/19/2024,"DEBIT CARD PURCHASE MCDONALD'S F18095 MANASSAS VA1217242442733PGLYPTG (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-41.64,6464.37,
12/12/2024,"DEBIT CARD PURCHASE MCDONALD'S F18095 MANASSAS VA1210242442733P9LYPT8 (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-35.38,4479.14,
12/02/2024,"DEBIT CARD PURCHASE POS3086 MCDONALD'S F20 MANASSAS VA1127242425131NYF6JVF (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-15.92,6201.76,
10/16/2024,"DEBIT CARD PURCHASE POS4164 MCDONALD'S F15 CENTREVILLE VA1012242425131MHF6JW0 (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-38.64,5962.78,
10/11/2024,"DEBIT CARD PURCHASE POS1620 MCDONALD'S M56 SYLMAR CA1010242425131MQF6JVZ (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-12.87,8026.94,
09/20/2024,"DEBIT CARD PURCHASE MCDONALD'S F18095 MANASSAS VA0918242442733LNLYPTG (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-13.05,5587.89,
08/30/2024,"DEBIT CARD PURCHASE MCDONALD'S F18095 MANASSAS VA0828242442733L1LYPTK (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-27.33,11547.76,
08/06/2024,"DEBIT CARD PURCHASE MCDONALD'S M5035 OF VA MANASSAS VA0804242442733K9LYRMN (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-11.41,10489.53,
08/02/2024,"DEBIT CARD PURCHASE MCDONALD'S F18095 MANASSAS VA0731242442733K5LYPTH (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-13.05,11805.28,
07/29/2024,"DEBIT CARD PURCHASE MCDONALD'S F18095 MANASSAS VA0725242442733JZLYPTK (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-17.35,9800.88,
07/03/2024,"DEBIT CARD PURCHASE MCDONALD'S F18095 MANASSAS VA0701242442733J7LYPTH (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-17.35,7727.93,
05/13/2024,"DEBIT CARD PURCHASE McDonalds 18095 157-1428294 VA0509242479338GJ02EL4 (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-24.14,8072.10,
04/29/2024,"DEBIT CARD PURCHASE MCDONALD'S F18095 MANASSAS VA0425242442733G4LYPTE (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-51.19,9596.12,
03/22/2024,"DEBIT CARD PURCHASE MCDONALD'S F18095 MANASSAS VA0320242442733F0LYRAP (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-27.33,4857.38,
03/07/2024,"DEBIT CARD PURCHASE MCDONALD'S F18095 MANASSAS VA0305242442733EHLYRA2 (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-46.25,6082.79,
02/21/2024,"DEBIT CARD PURCHASE MCDONALD'S M7532 OF VA HAYMARKET VA0219242442733E2LYRR9 (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-20.54,5287.05,



"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security or insurance product by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC (NFS). Both are Fidelity Investment companies and members SIPC, NYSE. Insurance products at Fidelity are distributed by"
"Fidelity Insurance Agency, Inc., and, for certain products, by Fidelity Brokerage Services, Member NYSE, SIPC."

Date downloaded 07/30/2025 2:20 pm
