

Run Date,Action,Symbol,Description,Type,Exchange Quantity,Exchange Currency,Quantity,Currency,Price,Exchange Rate,Commission,Fees,Accrued Interest,Amount,Cash Balance,Settlement Date
12/04/2024,"DEBIT CARD PURCHASE PIZZA BOLI'S 703-335-2000 VA1201242476501P14XEFL (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-91.81,4632.33,
10/22/2024,"DEBIT CARD PURCHASE PIZZA HUT 37448 https://ipcha VA1020242494300MN27NQT (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-86.63,5468.07,
10/18/2024,"DEBIT CARD PURCHASE PIZZA HUT 37448 https://ipcha VA1016242494300MJ25AWT (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-82.84,5597.68,
10/07/2024,"DEBIT CARD PURCHASE PIZZA BOLI'S 703-335-2000 VA1004242476501M736BAP (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-58.68,3599.39,
09/24/2024,"DEBIT CARD PURCHASE PIZZA BOLI'S 703-335-2000 VA0921242476501LS2S2VT (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-87.89,5278.88,
08/12/2024,"DEBIT CARD PURCHASE PIZZA HUT 037448 https://ipcha VA0809242494300KF0ZVXZ (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-47.27,9675.38,
07/15/2024,"DEBIT CARD PURCHASE PIZZA HUT 037448 https://ipcha VA0713242494300JK0GE9Q (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-97.08,3631.98,
06/10/2024,"DEBIT CARD PURCHASE PIZZA HUT 037448 https://ipcha VA0608242494300HG01MZH (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-79.41,7819.25,
05/15/2024,"DEBIT CARD PURCHASE PIZZA BOLI'S 703-335-2000 VA0512242476501GN5SP0L (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-69.54,6946.66,
05/13/2024,"DEBIT CARD PURCHASE PIZZA HUT 037448 https://ipcha VA0511242494300GL2M3AR (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-63.76,8128.03,
05/06/2024,"DEBIT CARD PURCHASE MODERN APIZZA NEW HAVEN CT0501242426979GBEJDTF (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-37,6081.26,
04/15/2024,"DEBIT CARD PURCHASE PIZZA BOLI'S 703-335-2000 VA0412242476501FR5SP0L (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-60.9,6021.24,
04/08/2024,"DEBIT CARD PURCHASE PIZZA HUT 037448 https://ipcha VA0406242494300FH2M3FG (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-64.01,5771.59,
03/11/2024,"DEBIT CARD PURCHASE PIZZA BOLI'S 703-335-2000 VA0308242476501EM5SP0L (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-81.68,3907.81,
02/26/2024,"DEBIT CARD PURCHASE PIZZA HUT 037448 https://ipcha VA0223242494300E72M3DK (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-60.64,4919.24,
02/20/2024,"DEBIT CARD PURCHASE PIZZA HUT 037448 https://ipcha VA0216242494300E02M3GF (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-60,5957.55,
01/16/2024,"DEBIT CARD PURCHASE PIZZA HUT 037448 https://ipcha VA0113242494300QX2M3BN (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-85.97,2487.89,
01/08/2024,"DEBIT CARD PURCHASE PIZZA HUT 037448 https://ipcha VA0106242494300QN2M3EJ (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-79.71,6910.22,



"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security or insurance product by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC (NFS). Both are Fidelity Investment companies and members SIPC, NYSE. Insurance products at Fidelity are distributed by"
"Fidelity Insurance Agency, Inc., and, for certain products, by Fidelity Brokerage Services, Member NYSE, SIPC."

Date downloaded 07/31/2025 7:54 pm
