

Run Date,Action,Symbol,Description,Type,Exchange Quantity,Exchange Currency,Quantity,Currency,Price,Exchange Rate,Commission,Fees,Accrued Interest,Amount,Cash Balance,Settlement Date
07/30/2025,"DEBIT CARD PURCHASE OUTSTAND AUTH 07/29 MARKET@WORK 20673791521000685990734 as of Jul-29-2025 (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-2.8,Processing,
07/30/2025,"DEBIT CARD PURCHASE OUTSTAND AUTH 07/28 MARKET@WORK 20673791520921276743460 as of Jul-28-2025 (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-5.44,Processing,
07/30/2025,"DEBIT CARD PURCHASE OUTSTAND AUTH 07/29 PAYPAL *PYPL Payin4 521003107421943 as of Jul-29-2025 (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-22.79,Processing,
07/30/2025,"DEBIT CARD PURCHASE UVA HS MY CHART 434-924-5305 VA07282524431066H7DP4S (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-25,Processing,
07/30/2025,"DEBIT CARD PURCHASE Amazon.com*E191L0XC3 Amzn.com/bill WA07292524692166J33BZ3 (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-5.99,Processing,
07/29/2025,"DEBIT CARD PURCHASE POS1 FOOD LION #138 MANASSAS VA07262524251316HF6JV8 (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-80.65,3948.23,
07/29/2025,"DEBIT CARD PURCHASE PAPA JOHN'S #1683 703-392-7272 VA07272524445006HHEXN4 (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-95.93,4028.88,
07/28/2025,"DEBIT CARD PURCHASE MARKET@WORK 2067379149 RENTON WA07252524431056F59305 (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-2.8,4124.81,
07/28/2025,"DEBIT CARD PURCHASE MARKET@WORK 2067379149 RENTON WA07242524431056E58K6R (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-2.8,4127.61,
07/28/2025,"DEBIT CARD PURCHASE MARKET@WORK 2067379149 RENTON WA07232524431056D58429 (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-2.8,4130.41,
07/28/2025,"DEBIT CARD PURCHASE METRO 057-L'ENFANT PLZ WASHINGTON DC07232524445006D5SQQ6 (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-10,4133.21,
07/28/2025,"DEBIT CARD PURCHASE CONSUMERREPORTS.ORG 800-333-0663 NY07262524692166F318PG (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-39,4143.21,
07/28/2025,"DEBIT CARD PURCHASE PAYPAL *PYPL PAYIN4 888-221-1161 CA07262524027626F1Z81E (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-40.15,4182.21,
07/25/2025,"DEBIT CARD PURCHASE AMAZON MKTPL*7D9A21K73 Amzn.com/bill WA07242524692166D2Z52P (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-31.79,4716.98,
07/25/2025,"DEBIT CARD PURCHASE OLD VIRGINIA TOBACCO C ARLINGTON VA07232524377356D00018 (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-57.41,4748.77,
07/25/2025,"DEBIT CARD PURCHASE PAYPAL *EBAY 800-456-3 402-935-7733 CA07232524036386Q22T3S (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-153.32,4911.18,
07/24/2025,"DEBIT CARD PURCHASE MARKET@WORK 2067379149 RENTON WA07212524431056B575FT (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-2.8,6002.50,
07/24/2025,"DEBIT CARD PURCHASE BURGER KING #1044 MANASSAS VA07222524941446Q1HPRV (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-40.21,6005.30,
07/23/2025,"DEBIT CARD PURCHASE Amazon.com*B70IG4C63 AMZN.COM/BILL WA07212524692166A2X68T (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-24.76,6395.51,
07/22/2025,"DEBIT CARD PURCHASE POSNCZT UBER EATS* EAT SAN FRANCISC CA07202524251316AF6JV6 (Cash)",,"No Description",Cash,0,,0.000,USD,,0,,,,-17.48,6480.27,
