

Run Date,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
08/05/2025,"DEBIT CARD PURCHASE OUTSTAND AUTH 08/02 7-ELEVEN 40042 521401695252526 as of Aug-02-2025 (Cash)",,"No Description",Cash,0.000,,,,,-4.33,Processing,
08/05/2025,"DEBIT CARD PURCHASE OUTSTAND AUTH 08/04 DAIRY QUEEN #12909 521601727113957 as of Aug-04-2025 (Cash)",,"No Description",Cash,0.000,,,,,-9.43,Processing,
08/05/2025,"DEBIT CARD PURCHASE POS0003 Walmart.com Bentonville AR08012524251316RF6JVA (Cash)",,"No Description",Cash,0.000,,,,,-343.98,Processing,
08/05/2025,"DEBIT CARD PURCHASE POS0123 MCDONALD'S M46 MANASSAS VA08022524251316RF6JVA (Cash)",,"No Description",Cash,0.000,,,,,-27,Processing,
08/05/2025,"DEBIT CARD PURCHASE POS1 Love's #0706 I STAUNTON VA08022524251316RF6JVA (Cash)",,"No Description",Cash,0.000,,,,,-28.68,Processing,
08/05/2025,"DEBIT CARD PURCHASE POS1680 SAVE A LOT #18 GAINESBORO TN08042524251316RF6JVA (Cash)",,"No Description",Cash,0.000,,,,,-84.02,Processing,
08/05/2025,"DEBIT CARD PURCHASE Prime Video *0W31X10Y3 888-802-3080 WA08042524692166R2Z4X2 (Cash)",,"No Description",Cash,0.000,,,,,-7.99,Processing,
08/05/2025,"DEBIT CARD PURCHASE BUC-EE'S #50 CROSSVILLE TN08032524692166P2YKQS (Cash)",,"No Description",Cash,0.000,,,,,-34.48,Processing,
08/05/2025,"DEBIT CARD PURCHASE BUC-EE'S #50 CROSSVILLE TN08032524692166P2YKQX (Cash)",,"No Description",Cash,0.000,,,,,-31.74,Processing,
08/04/2025,"DEBIT CARD PURCHASE AMAZON PRIME*BR6AB49S3 Amzn.com/bill WA08022524692166N2XKMR (Cash)",,"No Description",Cash,0.000,,,,,-14.99,757.14,
08/04/2025,"DEBIT CARD PURCHASE POPEYES 2768 PRITAM.PATEL@ VA08012524941506MQEHLL (Cash)",,"No Description",Cash,0.000,,,,,-33,772.13,
08/04/2025,"DEBIT CARD PURCHASE LOVE'S #0706 OUTSIDE STAUNTON VA08022524692166N2Y61X (Cash)",,"No Description",Cash,0.000,,,,,-35.78,805.13,
08/04/2025,"DEBIT CARD PURCHASE CHIPOTLE 4287 BRISTOL TN08022524431066P7H0SF (Cash)",,"No Description",Cash,0.000,,,,,-48.45,840.91,
08/04/2025,"DEBIT CARD PURCHASE VIRGINIA RAILWAY EXPRE 800-7433873 VA08012524013396M007Q6 (Cash)",,"No Description",Cash,0.000,,,,,-291.1,889.36,
07/31/2025,"DEBIT CARD PURCHASE POS1825 WAL-MART #1825 MANASSAS VA07302524251316KF6JV8 (Cash)",,"No Description",Cash,0.000,,,,,-6.33,0.61,
07/28/2025,"DEBIT CARD PURCHASE SALLY BEAUTY 10812 MANASSAS VA07232524137466DEJH9M (Cash)",,"No Description",Cash,0.000,,,,,-17.59,6.94,
